time,event
2026-03-02T11:59:46.053771,candidate selected op=points start=0
 duration_ms=1183
2026-03-02T11:59:46.058383,poll ok #58 duration_ms=3242 degraded=0 timeout_streak=0
2026-03-02T11:59:47.810141,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:59:49.610608,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T11:59:49.861646,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:59:51.044517,poll ok #59 duration_ms=3235 degraded=0 timeout_streak=0
2026-03-02T11:59:52.810687,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:59:54.611951,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:59:54.864101,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:59:56.059730,candidate selected op=points start=0
 duration_ms=1195
2026-03-02T11:59:56.060736,poll ok #60 duration_ms=3250 degraded=0 timeout_streak=0
2026-03-02T11:59:57.810758,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:59:59.613292,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:59:59.865258,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:00:01.044346,candidate selected op=points start=0
=0 timeout_streak=0
2026-03-02T12:00:02.811342,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:04.612731,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:00:04.864389,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:00:06.062866,recv ok op=points@0 regs=72 attempt=2 duration_ms=1198
2026-03-02T12:00:06.065685,poll ok #62 duration_ms=3255 degraded=0 timeout_streak=0
2026-03-02T12:00:07.810172,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:09.611977,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T12:00:09.862090,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:00:11.066558,poll ok #63 duration_ms=3256 degraded=0 timeout_streak=0
2026-03-02T12:00:12.810654,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:14.013469,poll ok #64 duration_ms=1203 degraded=0 timeout_streak=0
2026-03-02T12:00:17.810043,poll start #65
2026-03-02T12:00:17.811073,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:18.329420,candidate selected op=points start=0
 duration_ms=518
2026-03-02T12:00:18.332951,poll ok #65 duration_ms=522 degraded=0 timeout_streak=0
2026-03-02T12:00:22.811909,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:24.614703,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
2026-03-02T12:00:24.615730,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:00:24.867804,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:00:26.078678,poll ok #66 duration_ms=3267 degraded=0 timeout_streak=0
2026-03-02T12:00:27.809835,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:00:29.654342,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
