time,zone,alarm_type,event,message
2026-02-24T16:22:53.975242,1,stale,raise,Zone 1: stale data
2026-02-24T16:22:58.972433,1,stale,clear,Zone 1: stale data
2026-02-24T16:27:48.988250,1,stale,raise,Zone 1: stale data
2026-02-24T16:27:53.996668,1,stale,clear,Zone 1: stale data
2026-02-24T16:35:44.991222,1,offline,raise,Zone 1 is offline
2026-02-24T16:35:47.699008,1,offline,clear,Zone 1 is offline
2026-02-24T16:35:47.699524,1,stale,clear,Zone 1: stale data
2026-02-24T16:40:13.991622,1,stale,raise,Zone 1: stale data
2026-02-24T16:40:19.017487,1,stale,clear,Zone 1: stale data
2026-02-24T16:42:29.989110,1,offline,raise,Zone 1 is offline
2026-02-24T16:42:29.989627,1,stale,raise,Zone 1: stale data
2026-02-24T16:42:32.686460,1,stale,clear,Zone 1: stale data

2026-02-24T16:46:18.964456,1,stale,raise,Zone 1: stale data
2026-02-24T16:46:23.966630,1,stale,clear,Zone 1: stale data
2026-02-24T16:46:43.994986,1,stale,raise,Zone 1: stale data
2026-02-24T16:46:51.964062,1,stale,clear,Zone 1: stale data
2026-02-24T17:21:14.991152,1,stale,raise,Zone 1: stale data

2026-02-24T17:21:16.961743,1,stale,clear,Zone 1: stale data

2026-02-24T17:23:19.714723,1,stale,raise,Zone 1: stale data
2026-02-24T17:23:24.728427,1,stale,clear,Zone 1: stale data
2026-02-24T17:23:29.728572,1,stale,raise,Zone 1: stale data
2026-02-24T17:23:43.753158,1,stale,clear,Zone 1: stale data
2026-02-24T17:29:29.699181,1,stale,raise,Zone 1: stale data
2026-02-24T17:29:31.898290,1,stale,clear,Zone 1: stale data
2026-02-24T17:29:44.707517,1,stale,raise,Zone 1: stale data
2026-02-24T17:30:13.766459,1,stale,clear,Zone 1: stale data
2026-02-24T17:46:34.991467,1,stale,raise,Zone 1: stale data

2026-02-24T17:46:37.841685,1,stale,clear,Zone 1: stale data

2026-02-24T17:53:49.693384,1,stale,raise,Zone 1: stale data
2026-02-24T17:53:52.638963,1,stale,clear,Zone 1: stale data
2026-02-24T17:54:04.691529,1,stale,raise,Zone 1: stale data
2026-02-24T17:54:38.703403,1,stale,clear,Zone 1: stale data
2026-02-24T17:54:44.734975,1,stale,raise,Zone 1: stale data
2026-02-24T17:54:47.683754,1,stale,clear,Zone 1: stale data
2026-02-24T17:58:54.991137,1,stale,raise,Zone 1: stale data

2026-02-24T17:58:57.021075,1,stale,clear,Zone 1: stale data

2026-02-24T17:59:59.606809,1,stale,raise,Zone 1: stale data
2026-02-24T18:00:04.622454,1,stale,clear,Zone 1: stale data
2026-02-24T18:00:09.632552,1,stale,raise,Zone 1: stale data
2026-02-24T18:00:37.632755,1,stale,clear,Zone 1: stale data
2026-02-24T18:00:49.707152,1,stale,raise,Zone 1: stale data
2026-02-24T18:01:02.660402,1,stale,clear,Zone 1: stale data
2026-02-24T18:01:14.725692,1,stale,raise,Zone 1: stale data
2026-02-24T18:01:24.734641,1,stale,clear,Zone 1: stale data
2026-02-24T18:05:09.990248,1,stale,raise,Zone 1: stale data

2026-02-24T18:05:12.024838,1,stale,clear,Zone 1: stale data

2026-02-24T18:06:14.566688,1,stale,raise,Zone 1: stale data
2026-02-24T18:06:52.565103,1,stale,clear,Zone 1: stale data
2026-02-24T18:07:04.625465,1,stale,raise,Zone 1: stale data
2026-02-24T18:07:17.594791,1,stale,clear,Zone 1: stale data
2026-02-24T18:07:29.651282,1,stale,raise,Zone 1: stale data
2026-02-24T18:07:34.653043,1,stale,clear,Zone 1: stale data
2026-02-24T18:12:29.584652,1,stale,raise,Zone 1: stale data
2026-02-24T18:13:07.595955,1,stale,clear,Zone 1: stale data
2026-02-24T18:13:19.661669,1,stale,raise,Zone 1: stale data
2026-02-24T18:13:44.689732,1,stale,clear,Zone 1: stale data
2026-02-24T18:18:34.661460,1,stale,raise,Zone 1: stale data
2026-02-24T18:19:07.664370,1,stale,clear,Zone 1: stale data
2026-02-24T18:19:19.724929,1,stale,raise,Zone 1: stale data
2026-02-24T18:19:33.752038,1,stale,clear,Zone 1: stale data
2026-02-24T18:24:04.991681,1,stale,raise,Zone 1: stale data

2026-02-24T18:24:07.549660,1,stale,clear,Zone 1: stale data

2026-02-24T18:24:39.583583,1,stale,raise,Zone 1: stale data
2026-02-24T18:24:47.537426,1,stale,clear,Zone 1: stale data
2026-02-24T18:24:59.599078,1,stale,raise,Zone 1: stale data
2026-02-24T18:25:37.572342,1,stale,clear,Zone 1: stale data
2026-02-24T18:25:49.630653,1,stale,raise,Zone 1: stale data
2026-02-24T18:25:59.630418,1,stale,clear,Zone 1: stale data
2026-02-24T18:38:09.556800,1,stale,raise,Zone 1: stale data
2026-02-24T18:38:14.562057,1,stale,clear,Zone 1: stale data
2026-02-24T18:43:44.530901,1,stale,raise,Zone 1: stale data
2026-02-24T18:43:49.529934,1,stale,clear,Zone 1: stale data
2026-02-24T18:43:54.549497,1,stale,raise,Zone 1: stale data
2026-02-24T18:44:04.552347,1,stale,clear,Zone 1: stale data
2026-02-24T18:44:09.561927,1,stale,raise,Zone 1: stale data
2026-02-24T18:44:14.571198,1,stale,clear,Zone 1: stale data
2026-02-24T18:49:09.990463,1,stale,raise,Zone 1: stale data

2026-02-24T18:49:11.987374,1,stale,clear,Zone 1: stale data

2026-02-24T18:50:09.537703,1,stale,raise,Zone 1: stale data
2026-02-24T18:50:19.564190,1,stale,clear,Zone 1: stale data
2026-02-24T18:50:24.576185,1,stale,raise,Zone 1: stale data
2026-02-24T18:50:29.578570,1,stale,clear,Zone 1: stale data
2026-02-24T19:07:23.964366,1,stale,raise,Zone 1: stale data
2026-02-24T19:07:28.971146,1,stale,clear,Zone 1: stale data
2026-02-24T19:07:33.968856,1,stale,raise,Zone 1: stale data
2026-02-24T19:07:56.893411,1,stale,clear,Zone 1: stale data
2026-02-24T19:08:08.994353,1,stale,raise,Zone 1: stale data
2026-02-24T19:08:46.961591,1,stale,clear,Zone 1: stale data
2026-02-24T19:13:48.752606,1,stale,raise,Zone 1: stale data
2026-02-24T19:14:16.897240,1,stale,clear,Zone 1: stale data
2026-02-24T19:14:24.994222,1,stale,raise,Zone 1: stale data

2026-02-24T19:14:27.812339,1,stale,clear,Zone 1: stale data

2026-02-24T19:14:33.821869,1,stale,raise,Zone 1: stale data
2026-02-24T19:14:58.847545,1,stale,clear,Zone 1: stale data
2026-02-24T19:19:58.762389,1,stale,raise,Zone 1: stale data
2026-02-24T19:20:31.896418,1,stale,clear,Zone 1: stale data
2026-02-24T19:20:43.819381,1,stale,raise,Zone 1: stale data
2026-02-24T19:20:53.833617,1,stale,clear,Zone 1: stale data
2026-02-24T19:25:33.762430,1,stale,raise,Zone 1: stale data
2026-02-24T19:25:38.767433,1,stale,clear,Zone 1: stale data
2026-02-24T19:25:43.780314,1,stale,raise,Zone 1: stale data
2026-02-24T19:26:02.763660,1,stale,clear,Zone 1: stale data
2026-02-24T19:26:13.828315,1,stale,raise,Zone 1: stale data
2026-02-24T19:26:49.989104,1,offline,raise,Zone 1 is offline
2026-02-24T19:26:52.924936,1,stale,clear,Zone 1: stale data

2026-02-24T19:31:38.831034,1,stale,raise,Zone 1: stale data
2026-02-24T19:31:43.838803,1,stale,clear,Zone 1: stale data
2026-02-24T19:31:48.861514,1,stale,raise,Zone 1: stale data
2026-02-24T19:32:17.833043,1,stale,clear,Zone 1: stale data
2026-02-24T19:32:28.895447,1,stale,raise,Zone 1: stale data
2026-02-24T19:32:58.941189,1,stale,clear,Zone 1: stale data
2026-02-24T19:38:53.756862,1,stale,raise,Zone 1: stale data
2026-02-24T19:39:08.757321,1,stale,clear,Zone 1: stale data
2026-02-24T19:58:19.989543,1,stale,raise,Zone 1: stale data

2026-02-24T19:58:22.629102,1,stale,clear,Zone 1: stale data

2026-02-24T20:04:39.991480,1,stale,raise,Zone 1: stale data

2026-02-24T20:04:41.967061,1,stale,clear,Zone 1: stale data

2026-02-24T20:19:24.988423,1,offline,raise,Zone 1 is offline
