time,zone,sensor_idx,sensor_value,online,stale
2026-02-24T19:52:58.909338,1,7,0.00,1,0
2026-02-24T19:52:58.909338,1,8,0.00,1,0
2026-02-24T19:53:08.927266,1,0,28.60,1,0
2026-02-24T19:53:08.927266,1,1,27.10,1,0
2026-02-24T19:53:08.927266,1,2,25.30,1,0
2026-02-24T19:53:08.927266,1,3,0.00,1,0
2026-02-24T19:53:08.927266,1,4,0.00,1,0
2026-02-24T19:53:08.927266,1,5,0.00,1,0
2026-02-24T19:53:08.927266,1,6,2.20,1,0
2026-02-24T19:53:08.927266,1,7,0.00,1,0
2026-02-24T19:53:08.927266,1,8,0.00,1,0
2026-02-24T19:53:18.933860,1,0,28.60,1,0
2026-02-24T19:53:18.933860,1,1,27.10,1,0
2026-02-24T19:53:18.933860,1,2,25.30,1,0
2026-02-24T19:53:18.933860,1,3,0.00,1,0
2026-02-24T19:53:18.933860,1,4,0.00,1,0
2026-02-24T19:53:18.933860,1,5,0.00,1,0
2026-02-24T19:53:18.933860,1,6,0.00,1,0
2026-02-24T19:53:18.933860,1,7,0.00,1,0
2026-02-24T19:53:18.933860,1,8,0.00,1,0
2026-02-24T19:53:33.932398,1,0,28.60,1,0
2026-02-24T19:53:33.932398,1,1,12.50,1,0
2026-02-24T19:53:33.932398,1,2,25.30,1,0
2026-02-24T19:53:33.932398,1,3,0.00,1,0
2026-02-24T19:53:33.932398,1,4,0.00,1,0
2026-02-24T19:53:33.932398,1,5,0.00,1,0
2026-02-24T19:53:33.932398,1,6,0.00,1,0
2026-02-24T19:53:33.932398,1,7,0.00,1,0
2026-02-24T19:53:33.932398,1,8,0.00,1,0
2026-02-24T19:53:48.937189,1,0,28.50,1,0
2026-02-24T19:53:48.937189,1,1,27.10,1,0
2026-02-24T19:53:48.937189,1,2,25.30,1,0
2026-02-24T19:53:48.937189,1,3,0.00,1,0
2026-02-24T19:53:48.937189,1,4,0.00,1,0
2026-02-24T19:53:48.937189,1,5,0.00,1,0
2026-02-24T19:53:48.937189,1,6,0.00,1,0
2026-02-24T19:53:48.937189,1,7,0.00,1,0
2026-02-24T19:53:48.937189,1,8,0.00,1,0
2026-02-24T19:53:58.945794,1,0,28.60,1,0
2026-02-24T19:53:58.945794,1,1,12.50,1,0
2026-02-24T19:53:58.945794,1,2,25.30,1,0
2026-02-24T19:53:58.945794,1,3,0.00,1,0
2026-02-24T19:53:58.945794,1,4,0.00,1,0
2026-02-24T19:53:58.945794,1,5,0.00,1,0
2026-02-24T19:53:58.945794,1,6,0.00,1,0
2026-02-24T19:53:58.945794,1,7,0.00,1,0
2026-02-24T19:53:58.945794,1,8,0.00,1,0
2026-02-24T19:54:11.895048,1,0,28.60,1,0
2026-02-24T19:54:11.895048,1,1,27.10,1,0
2026-02-24T19:54:11.895048,1,2,25.30,1,0
2026-02-24T19:54:11.895048,1,3,0.00,1,0
2026-02-24T19:54:11.895048,1,4,0.00,1,0
2026-02-24T19:54:11.895048,1,5,0.00,1,0
2026-02-24T19:54:11.895048,1,6,2.20,1,0
2026-02-24T19:54:11.895048,1,7,0.00,1,0
2026-02-24T19:54:11.895048,1,8,0.00,1,0
2026-02-24T19:54:23.959292,1,0,28.60,1,0
2026-02-24T19:54:23.959292,1,1,27.10,1,0
2026-02-24T19:54:23.959292,1,2,25.30,1,0
2026-02-24T19:54:23.959292,1,3,0.00,1,0
2026-02-24T19:54:23.959292,1,4,0.00,1,0
2026-02-24T19:54:23.959292,1,5,0.00,1,0
2026-02-24T19:54:23.959292,1,6,0.00,1,0
2026-02-24T19:54:23.959292,1,7,0.00,1,0
2026-02-24T19:54:23.959292,1,8,0.00,1,0
2026-02-24T19:54:38.961701,1,0,28.60,1,0
2026-02-24T19:54:38.961701,1,1,27.10,1,0
2026-02-24T19:54:38.961701,1,2,25.30,1,0
2026-02-24T19:54:38.961701,1,3,0.00,1,0
2026-02-24T19:54:38.961701,1,4,0.00,1,0
2026-02-24T19:54:38.961701,1,5,0.00,1,0
2026-02-24T19:54:38.961701,1,6,0.00,1,0
2026-02-24T19:54:38.961701,1,7,0.00,1,0
2026-02-24T19:54:38.961701,1,8,0.00,1,0
2026-02-24T19:54:51.894473,1,0,28.60,1,0
2026-02-24T19:54:51.894473,1,1,27.10,1,0
2026-02-24T19:54:51.894473,1,2,25.30,1,0
2026-02-24T19:54:51.894473,1,3,0.00,1,0
2026-02-24T19:54:51.894473,1,4,0.00,1,0
2026-02-24T19:54:51.894473,1,5,0.00,1,0
2026-02-24T19:54:51.894473,1,6,0.00,1,0
2026-02-24T19:54:51.894473,1,7,0.00,1,0
2026-02-24T19:54:51.894473,1,8,0.00,1,0
2026-02-24T19:55:03.967158,1,0,28.60,1,0
2026-02-24T19:55:03.967158,1,1,27.10,1,0
2026-02-24T19:55:03.967158,1,2,25.30,1,0
2026-02-24T19:55:03.967158,1,3,0.00,1,0
2026-02-24T19:55:03.967158,1,4,0.00,1,0
2026-02-24T19:55:03.967158,1,5,0.00,1,0
2026-02-24T19:55:03.967158,1,6,0.00,1,0
2026-02-24T19:55:03.967158,1,7,0.00,1,0
2026-02-24T19:55:03.967158,1,8,0.00,1,0
2026-02-24T19:55:13.986283,1,0,28.50,1,0
2026-02-24T19:55:13.986283,1,1,27.10,1,0
2026-02-24T19:55:13.986283,1,2,25.20,1,0
2026-02-24T19:55:13.986283,1,3,0.00,1,0
2026-02-24T19:55:13.986283,1,4,0.00,1,0
2026-02-24T19:55:13.986283,1,5,0.00,1,0
2026-02-24T19:55:13.986283,1,6,2.20,1,0
2026-02-24T19:55:13.986283,1,7,0.00,1,0
2026-02-24T19:55:13.986283,1,8,0.00,1,0
2026-02-24T19:55:23.991910,1,0,28.60,1,0
2026-02-24T19:55:23.991910,1,1,27.10,1,0
2026-02-24T19:55:23.991910,1,2,25.40,1,0
2026-02-24T19:55:23.991910,1,3,0.00,1,0
2026-02-24T19:55:23.991910,1,4,0.00,1,0
2026-02-24T19:55:23.991910,1,5,0.00,1,0
2026-02-24T19:55:23.991910,1,6,0.00,1,0
2026-02-24T19:55:23.991910,1,7,0.00,1,0
2026-02-24T19:55:23.991910,1,8,0.00,1,0
2026-02-24T19:55:36.901156,1,0,28.60,1,0
2026-02-24T19:55:36.901156,1,1,27.10,1,0
2026-02-24T19:55:36.901156,1,2,25.40,1,0
2026-02-24T19:55:36.901156,1,3,0.00,1,0
2026-02-24T19:55:36.901156,1,4,0.00,1,0
2026-02-24T19:55:36.901156,1,5,0.00,1,0
2026-02-24T19:55:36.901156,1,6,0.00,1,0
2026-02-24T19:55:36.901156,1,7,0.00,1,0
2026-02-24T19:55:36.901156,1,8,0.00,1,0
2026-02-24T19:55:49.506684,1,0,28.60,1,0
2026-02-24T19:55:49.506684,1,1,27.10,1,0
2026-02-24T19:55:49.506684,1,2,25.30,1,0
2026-02-24T19:55:49.506684,1,3,0.00,1,0
2026-02-24T19:55:49.506684,1,4,0.00,1,0
2026-02-24T19:55:49.506684,1,5,0.00,1,0
2026-02-24T19:55:49.506684,1,6,0.00,1,0
2026-02-24T19:55:49.506684,1,7,0.00,1,0
2026-02-24T19:55:49.506684,1,8,0.00,1,0
2026-02-24T19:55:59.517260,1,0,28.60,1,0
2026-02-24T19:55:59.517260,1,1,27.10,1,0
2026-02-24T19:55:59.517260,1,2,25.40,1,0
2026-02-24T19:55:59.517260,1,3,0.00,1,0
2026-02-24T19:55:59.517260,1,4,0.00,1,0
2026-02-24T19:55:59.517260,1,5,0.00,1,0
2026-02-24T19:55:59.517260,1,6,0.00,1,0
2026-02-24T19:55:59.517260,1,7,0.00,1,0
2026-02-24T19:55:59.517260,1,8,0.00,1,0
2026-02-24T19:56:09.537043,1,0,28.70,1,0
2026-02-24T19:56:09.537043,1,1,27.10,1,0
2026-02-24T19:56:09.537043,1,2,25.30,1,0
2026-02-24T19:56:09.537043,1,3,0.00,1,0
2026-02-24T19:56:09.537043,1,4,0.00,1,0
2026-02-24T19:56:09.537043,1,5,0.00,1,0
2026-02-24T19:56:09.537043,1,6,0.00,1,0
2026-02-24T19:56:09.537043,1,7,0.00,1,0
2026-02-24T19:56:09.537043,1,8,0.00,1,0
2026-02-24T19:56:24.543381,1,0,28.60,1,0
2026-02-24T19:56:24.543381,1,1,27.10,1,0
2026-02-24T19:56:24.543381,1,2,25.30,1,0
